city,date,co,no,no2,o3,so2,pm2_5,pm10,nh3
Delhi,05-02-2021,8544.92,144.84,86.37,0,183.11,671.68,798.86,114.5
Delhi,06-02-2021,2429.96,13.97,63.75,0.23,28.85,229.71,285.49,7.92
Delhi,07-02-2021,1121.52,0,32.9,55.79,20.98,96.26,116.64,10.51
Delhi,08-02-2021,4806.52,78.68,50.72,0,27.66,402.2,485.85,10.01
Delhi,09-02-2021,5821.23,95.67,57.58,0,36.72,487,599.59,13.05
Delhi,10-02-2021,9399.41,141.26,157.65,0,61.99,828.56,994.57,25.59
Delhi,11-02-2021,6248.47,101.92,76.77,0,51.98,672.08,826,11.15
Delhi,12-02-2021,8331.3,151.99,70.6,0,53.41,786.74,944.91,22.55
Delhi,13-02-2021,5928.04,63.48,87.74,0,38.62,739.71,871.45,10.26
Delhi,14-02-2021,10681.15,137.69,116.53,0,44.82,1053.1,1197.77,18.49
Delhi,15-02-2021,8224.49,101.92,94.59,0,36.72,898.67,1058.15,15.07
Delhi,16-02-2021,5180.36,36.21,85.68,0.01,42.92,699.09,833.32,8.74
Delhi,17-02-2021,10894.78,202.06,111.04,0,137.33,959.79,1190.43,80.05
Delhi,18-02-2021,6729.13,84.94,93.22,0,41.96,637.82,789.1,14.31
Delhi,19-02-2021,5607.61,57.22,104.19,0,44.82,633.07,760.26,9.25
Delhi,20-02-2021,6248.47,106.39,59.63,0,37.19,553.31,680.28,12.92
Delhi,21-02-2021,3417.97,2.77,84.31,10.28,28.37,462.74,522.21,12.03
Delhi,22-02-2021,2910.61,18.11,58.95,0.07,26.7,350.77,411.57,10.89
Delhi,23-02-2021,4486.08,54.54,71.29,0,40.53,370.94,469.21,27.36
Delhi,24-02-2021,15380.86,282.53,219.35,0,297.55,1201.51,1393.72,192.52
Delhi,25-02-2021,6942.75,93.88,100.08,0,44.35,529.89,677.4,24.32
Delhi,26-02-2021,2349.85,0.95,69.23,10.19,31.95,194.44,244.54,21.53
Delhi,27-02-2021,4165.65,22.13,130.24,0.23,71.53,350.94,404.5,27.61
Delhi,28-02-2021,5554.2,60.8,111.04,0,62.94,385.5,500.49,31.67
Delhi,01-03-2021,3578.19,41.57,57.58,0,45.78,264.29,383.19,39.01
Delhi,02-03-2021,1228.33,0,38.39,44.7,28.85,88.45,112.6,23.56
Delhi,03-03-2021,1348.5,0,40.44,56.51,33.38,102.77,127.56,24.57
Delhi,04-03-2021,12390.14,225.31,102.82,0,103,900.27,1093.55,59.78
Delhi,05-03-2021,7370,59.01,143.95,0,83.92,555.69,705.91,44.08
Delhi,06-03-2021,921.25,0,25.36,103,30.28,92.05,113.05,21.03
Delhi,07-03-2021,5180.36,44.26,102.82,0,51.02,353.75,446.16,33.95
Delhi,08-03-2021,807.76,0,21.59,81.54,23.37,98.1,128.79,22.55
Delhi,09-03-2021,2056.12,0,61.69,42.56,38.15,231.2,285.35,23.31
Delhi,10-03-2021,12817.38,209.21,135.72,0,88.69,1034.92,1275.8,45.09
Delhi,11-03-2021,5554.2,49.62,89.11,0,58.65,444.38,613.74,34.45
Delhi,12-03-2021,2830.51,16.54,80.88,0.09,46.73,198,277.24,31.67
Delhi,13-03-2021,1295.09,0,48.67,51.5,33.38,96.49,118.83,12.92
Delhi,14-03-2021,2403.26,5.76,64.43,1.5,29.09,159.54,205.85,22.55
Delhi,15-03-2021,1869.2,0.31,58.95,17.7,33.38,127.39,180.45,23.56
Delhi,16-03-2021,1415.25,0,42.84,40.05,32.9,108.62,157.78,25.33
Delhi,17-03-2021,2670.29,9.05,74.03,0.97,41.96,174.97,259.89,31.16
Delhi,18-03-2021,3177.64,35.32,64.43,0,49.59,224.3,356.79,35.97
Delhi,19-03-2021,5073.55,100.14,87.74,0,44.35,285.42,395.27,39.52
Delhi,20-03-2021,1815.8,12.96,61.69,0.12,27.42,97.76,147.78,25.33
Delhi,21-03-2021,4646.3,51.86,81.57,0,69.62,268.4,364.18,35.47
Delhi,22-03-2021,1148.22,0,32.56,61.51,31.47,89.11,130.62,22.8
Delhi,23-03-2021,1976.01,5.14,67.86,4.47,36.72,111.9,159.49,27.87
Delhi,24-03-2021,2750.4,12.52,87.74,0.19,51.02,191.79,258.18,32.93
Delhi,25-03-2021,781.06,0,32.56,55.08,37.19,48.04,73.06,21.53
Delhi,26-03-2021,1174.93,0,36.67,77.25,35.29,86.09,116.38,22.04
Delhi,27-03-2021,3578.19,31.29,82.25,0.01,48.64,215.54,304.64,34.45
Delhi,28-03-2021,6675.72,75.1,100.08,0,71.53,462.88,597.74,44.58
Delhi,29-03-2021,1575.47,0,37.36,95.84,47.21,227.02,287.43,25.08
Delhi,30-03-2021,3417.97,23.92,85.68,0.01,57.22,228.35,322.22,36.48
